AcademicPeriod,Course,CourseSection,SectionStatus,SemesterHours,Instructors,MeetingPatterns,StartDate,EndDate,Location1,InstructionalFormat,Comments,LastModified
FA,CS 364 -  Computer Security,CS 364-A  -  Computer Security,Open,4,"Adam Vedra

Brian Paige","MTH | 6:30 PM - 8:10 PM",2023/8/28,2023/12/16,"Science Building 354","Lecture","",""
SP,CS 372 -  Computer Graphics,CS 372-A  -  Computer Graphics,Open,2,"Harry Plantinga","MWF | 11:00 AM - 12:05 PM",2024/1/15,2024/3/9,"North Hall 253","Lecture","",""
FA,CS 374 -  High Performance Computing,CS 374-A  -  High Performance Computing,Open,2,"Joel Adams","MWF | 9:15 AM - 10:20 AM",2023/10/23,2023/12/16,"Science Building 354","Lecture","",""
SP,CS 375 -  Artificial Intelligence,CS 375-A  -  Artificial Intelligence,Waitlist,2,"Ken Arnold","MWF | 9:15 AM - 10:20 AM",2024/1/15,2024/3/9,"Science Building 354","Lecture","",""
SP,CS 375 -  Artificial Intelligence,CS 375-B  -  Artificial Intelligence,Open,2,"Ken Arnold","MWF | 11:00 AM - 12:05 PM",2024/1/16,2024/3/9,"Science Building 382","Lecture","",""
SP,CS 376 -  Machine Learning,CS 376-A  -  Machine Learning,Waitlist,2,"Ken Arnold","MWF | 9:15 AM - 10:20 AM",2024/3/11,2024/5/4,"Science Building 354","Lecture","",""
SP,CS 376 -  Machine Learning,CS 376-B  -  Machine Learning,Open,2,"Ken Arnold","MWF | 11:00 AM - 12:05 PM",2024/3/11,2024/5/4,"Science Building 382","Lecture","",""
FA,CS 383 -  External Practicum,CS 383-A  -  External Practicum,Waitlist,1,"Keith Vander Linden

Meredith Segur","T | 6:30 PM - 7:20 PM",2023/8/28,2023/12/16,"North Hall 253","Internship","",""
SP,CS 383 -  External Practicum,CS 383-A  -  External Practicum,Closed,1,"Keith Vander Linden

Meredith Segur","T | 6:30 PM - 7:20 PM",2024/1/16,2024/5/4,"North Hall 253","Internship","",""
SP,CS 384 -  Perspectives on Computing,CS 384-A  -  Perspectives on Computing,Open,4,"Derek Schuurman","TTH | 10:20 AM - 12:00 PM",2024/1/16,2024/5/4,"Hiemenga Hall 336","Lecture","",""
SP,CS 384 -  Perspectives on Computing,CS 384-B  -  Perspectives on Computing,Open,4,"Derek Schuurman","TTH | 12:15 PM - 1:55 PM",2024/1/16,2024/5/4,"Hiemenga Hall 336","Lecture","",""
FA,CS 390 -  Advanced React Apps,CS 390-A  -  Advanced React Apps,Closed,4,"Victor Norman"," |  - ",2023/8/28,2023/12/16,"","Independent Study","",""
FA,CS 396 -  Senior Project in Computing,CS 396-A  -  Senior Project in Computing,Open,2,"Keith Vander Linden","T | 6:30 PM - 8:10 PM",2023/8/28,2023/12/16,"Science Building 382","Lecture","",""
FA,CS 398 -  Senior Project in Computing II,CS 398-A  -  Senior Project in Computing II,Closed,2,"Keith Vander Linden"," |  - ",2023/8/28,2023/12/16,"","Lecture","",""
SP,CS 398 -  Senior Project in Computing II,CS 398-A  -  Senior Project in Computing II,Open,2,"Keith Vander Linden","T | 6:30 PM - 7:20 PM",2024/1/16,2024/5/4,"Science Building 382","Lecture","",""
SP,DATA 102 -  Foundations of Data Science and Analytics,DATA 102-A  -  Foundations of Data Science and Analytics,Waitlist,2,"Monica Groenenboom","MWF | 9:15 AM - 10:20 AM",2024/1/16,2024/3/9,"Hiemenga Hall 320","Lecture","",""
FA,DATA 102 -  Foundations of Data Science and Analytics,DATA 102-B  -  Foundations of Data Science and Analytics,Waitlist,2,"Brenda VanderLinden","TTH | 12:15 PM - 1:55 PM",2023/8/28,2023/10/21,"Science Building 372","Lecture","",""
SP,DATA 102 -  Foundations of Data Science and Analytics,DATA 102-B  -  Foundations of Data Science and Analytics,Waitlist,2,"Brenda VanderLinden","TTH | 12:15 PM - 1:55 PM",2024/1/16,2024/3/9,"Science Building 372","Lecture","",""
FA,DATA 102 -  Foundations of Data Science and Analytics,DATA 102-C  -  Foundations of Data Science and Analytics,Waitlist,2,"Brenda VanderLinden","TTH | 2:10 PM - 3:50 PM",2023/8/28,2023/10/21,"Science Building 372","Lecture","",""
SP,DATA 102 -  Foundations of Data Science and Analytics,DATA 102-C  -  Foundations of Data Science and Analytics,Waitlist,2,"Brenda VanderLinden","TTH | 2:10 PM - 3:50 PM",2024/1/16,2024/3/9,"Science Building 372","Lecture","",""
FA,DATA 102 -  Foundations of Data Science and Analytics,DATA 102-D  -  Foundations of Data Science and Analytics,Waitlist,2,"Jim Momeyer","TTH | 6:30 PM - 8:10 PM",2023/8/28,2023/10/21,"Science Building 372","Lecture","",""
SP,DATA 102 -  Foundations of Data Science and Analytics,DATA 102-D  -  Foundations of Data Science and Analytics,Waitlist,2,"Jim Momeyer","TTH | 6:30 PM - 8:10 PM",2024/1/16,2024/3/9,"Science Building 372","Lecture","",""
SP,DATA 103 -  Exploratory Data Science and Analytics,DATA 103-A  -  Exploratory Data Science and Analytics,Waitlist,2,"Monica Groenenboom","MWF | 9:15 AM - 10:20 AM",2024/3/11,2024/5/4,"Hiemenga Hall 320","Lecture","",""
FA,DATA 103 -  Exploratory Data Science and Analytics,DATA 103-B  -  Exploratory Data Science and Analytics,Waitlist,2,"Brenda VanderLinden","TTH | 12:15 PM - 1:55 PM",2023/10/23,2023/12/16,"Science Building 372","Lecture","",""
SP,DATA 103 -  Exploratory Data Science and Analytics,DATA 103-B  -  Exploratory Data Science and Analytics,Waitlist,2,"Brenda VanderLinden","TTH | 12:15 PM - 1:55 PM",2024/3/11,2024/5/4,"Science Building 372","Lecture","",""
FA,DATA 103 -  Exploratory Data Science and Analytics,DATA 103-C  -  Exploratory Data Science and Analytics,Open,2,"Brenda VanderLinden","TTH | 2:10 PM - 3:50 PM",2023/10/23,2023/12/16,"Science Building 372","Lecture","",""
SP,DATA 103 -  Exploratory Data Science and Analytics,DATA 103-C  -  Exploratory Data Science and Analytics,Waitlist,2,"Brenda VanderLinden","TTH | 2:10 PM - 3:50 PM",2024/3/11,2024/5/4,"Science Building 372","Lecture","",""
FA,DATA 103 -  Exploratory Data Science and Analytics,DATA 103-D  -  Exploratory Data Science and Analytics,Open,2,"Jim Momeyer","TTH | 6:30 PM - 8:10 PM",2023/10/23,2023/12/16,"Science Building 372","Lecture","",""
SP,DATA 103 -  Exploratory Data Science and Analytics,DATA 103-D  -  Exploratory Data Science and Analytics,Open,2,"Jim Momeyer","TTH | 6:30 PM - 8:10 PM",2024/3/11,2024/5/4,"Science Building 372","Lecture","",""
FA,DATA 202 -  Predictive Analytics,DATA 202-A  -  Predictive Analytics,Open,4,"Ken Arnold","MWF | 8:00 AM - 9:05 AM",2023/8/28,2023/12/16,"North Hall 253","Lecture","",""
FA,DATA 202 -  Predictive Analytics,DATA 202-B  -  Predictive Analytics,Waitlist,4,"Fernando Pasquini Santos","MWF | 9:15 AM - 10:20 AM",2023/8/28,2023/12/16,"North Hall 253","Lecture","",""
SP,DATA 304 -  Visualizing Data and Models,DATA 304-A  -  Visualizing Data and Models,Open,2,"Randall Pruim","MWF | 2:45 PM - 3:50 PM",2024/1/16,2024/3/9,"North Hall 261","Lecture","",""
FA,DATA 383 -  External Practicum,DATA 383-A  -  External Practicum,Open,1,"Keith Vander Linden

Meredith Segur"," |  - ",2023/8/28,2023/12/16,"","Internship","",""
SP,DATA 383 -  External Practicum,DATA 383-A  -  External Practicum,Closed,1,"Keith Vander Linden

Meredith Segur"," |  - ",2024/1/16,2024/5/4,"","Internship","",""
FA,DATA 396 -  Senior Project in Data Science,DATA 396-A  -  Senior Project in Data Science,Open,2,"Keith Vander Linden"," |  - ",2023/8/28,2023/12/16,"","Lecture","",""
SP,DATA 398 -  Senior Project in Data Science II,DATA 398-A  -  Senior Project in Data Science II,Open,2,"Keith Vander Linden","T | 6:30 PM - 7:20 PM",2024/1/16,2024/5/4,"Science Building 382","Lecture","",""
SP,DATA 510 -  Ethics for Data Science,DATA 510-A  -  Ethics for Data Science,Preliminary,2,""," |  - ",2024/1/20,2024/5/4,"","Lecture","",""
FA,DATA 545 -  Applied Regression,DATA 545-OL1  -  Applied Regression,Open,4,"Stacy DeRuiter"," |  - ",2023/8/28,2023/12/16,"","Lecture","",""
FA,DATA 555 -  Matrix Algebra for Data Science,DATA 555-OL1  -  Matrix Algebra for Data Science,Open,2,"Randall Pruim"," |  - ",2023/8/28,2023/10/21,"","Lecture","",""
SP,DATA 562 -  Systems Engineering for Data Science,DATA 562-OL1  -  Systems Engineering for Data Science,Open,4,"Keith Vander Linden"," |  - ",2024/1/15,2024/5/4,"","Lecture","",""
FA,DATA 642 -  Optimization,DATA 642-OL1  -  Optimization,Open,2,"Chris Moseley"," |  - ",2023/10/23,2023/12/16,"","Lecture","",""
