Department,Term,SubjectCode,CourseNum,SectionCode,CourseLevelCode,MinimumCredits,FacultyLoad,BuildingAndRoom,MeetingDays,MeetingTime,SectionStartDate,SectionEndDate,SemesterLength,Building,RoomNumber,MeetingStart,MeetingDurationMinutes,MeetingEnd,ShortTitle,Faculty,SectionStatus,InstructionalMethod,DeliveryMode,Comments,LastEditTimestamp
Computer Science,SP,DATA,103,C,100,2,2,SB 372,TTH,2:10PM - 3:50PM,,,Second,SB,372,2:10 PM,100,3:50 PM,Exploratory Data Science and Analytics,Brenda VanderLinden,Active,LEC,,,2022-09-13T16:18:33-04:00
Computer Science,FA,DATA,103,D,100,2,2,SB 372,TTH,6:30PM - 8:10PM,,,Second,SB,372,6:30 PM,100,8:10 PM,Exploratory Data Science and Analytics,Jim Momeyer,Active,LEC,,,2022-09-13T16:13:35-04:00
Computer Science,SP,DATA,103,D,100,2,2,SB 372,TTH,6:30PM - 8:10PM,,,Second,SB,372,6:30 PM,100,8:10 PM,Exploratory Data Science and Analytics,Jim Momeyer,Active,LEC,,,2022-09-13T16:18:38-04:00
Computer Science,FA,DATA,202,A,200,4,4,NH 253,MWF,8:00AM - 9:05AM,,,Full,NH,253,8:00 AM,65,9:05 AM,Predictive Analytics,Kenneth C Arnold,Active,LEC,,,2022-06-14T13:36:15-04:00
Computer Science,FA,DATA,202,B,200,4,4,NH 253,MWF,9:15AM - 10:20AM,,,Full,NH,253,9:15 AM,65,10:20 AM,Predictive Analytics,Fernando Pasquini Santos,,LEC,,,2022-11-25T12:06:59-05:00
Computer Science,FA,DATA,396,A,300,2,0,SB 382,T,6:30PM - 7:20PM,,,Full,SB,382,6:30 PM,50,7:20 PM,Senior Project in Data Science,Kenneth C Arnold,,LEC,,,2022-11-25T16:03:13-05:00
Computer Science,SP,DATA,398,A,300,2,0,SB 382,T,6:30PM - 7:20PM,,,Full,SB,382,6:30 PM,50,7:20 PM,Senior Project in Data Science II,Kenneth C Arnold,,LEC,,,2022-11-25T16:03:29-05:00
Computer Science,SP,DATA,510,A,500,2,2,,,,,,First,,,,,,Ethics for Data Science,Fernando Pasquini Santos,,On-line,,,2022-11-24T12:32:13-05:00
Computer Science,FA,DATA,562,A,500,4,4,,,,,,Full,,,,,,Systems Engineering for Data Science,Keith VanderLinden,,On-line,,,2022-11-24T12:33:33-05:00
Computer Science,FA,DATA,571,A,500,2,2,,,,,,First,,,,,,Data Wrangling,Staff,,On-line,,,2022-11-24T12:35:39-05:00
Computer Science,FA,DATA,572,A,500,2,2,,,,,,Second,,,,,,Introduction to Machine Learning,Staff,,On-line,,,2022-11-24T12:36:48-05:00
Computer Science,SP,DATA,602,A,600,2,2,,,,,,First,,,,,,Database Management Systems,Patrick Bailey,,On-line,,,2022-11-24T12:38:36-05:00
Computer Science,SP,DATA,675,A,600,2,2,,,,,,First,,,,,,Introduction to Deep Learning,Kenneth C Arnold,,On-line,,,2022-11-24T12:39:51-05:00
Computer Science,SP,DATA,676,A,600,2,2,,,,,,Second,,,,,,Deep Learning for Text and Generative Models,Kenneth C Arnold,,On-line,,,2022-11-24T12:40:54-05:00
Computer Science,SU,DATA,696,A,600,2,2,,,,,,Full,,,,,,Project in Data Science,Staff,,On-line,,,2022-11-24T12:52:05-05:00
Engineering,FA,ENGR,101,A,100,4,4,HH 336,MWF,8:00AM - 9:05AM,,,Full,HH,336,8:00 AM,65,9:05 AM,Introduction to Engineering Design,Monica Groenenboom,,,In Person,,2022-11-28T21:08:02-05:00
Engineering,FA,ENGR,101,B,100,4,4,HH 336,MWF,9:15AM - 10:20AM,,,Full,HH,336,9:15 AM,65,10:20 AM,Introduction to Engineering Design,Ron Plaisier,,,In Person,,2022-11-28T21:10:11-05:00
Engineering,FA,ENGR,101,C,100,4,4,HH 336,MWF,11:00AM - 12:05PM,,,Full,HH,336,11:00 AM,65,12:05 PM,Introduction to Engineering Design,Ron Plaisier,,,In Person,,2022-11-28T21:10:36-05:00
Engineering,FA,ENGR,101,D,100,4,4,HH 336,MWF,1:30PM - 2:35PM,,,Full,HH,336,1:30 PM,65,2:35 PM,Introduction to Engineering Design,Andrew DeJong,,,In Person,,2022-11-28T21:11:30-05:00
Engineering,FA,ENGR,101,E,100,4,4,HH 336,MWF,2:45PM - 3:50PM,,,Full,HH,336,2:45 PM,65,3:50 PM,Introduction to Engineering Design,Engr Staff,,,In Person,,2022-11-28T21:12:00-05:00
Engineering,FA,ENGR,101L,A,100,3,2,SB 128,T,8:00AM - 10:50AM,,,Full,SB,128,8:00 AM,170,10:50 AM,Engineering Graphical Communication Lab,Julie Wildschut,,,In Person,,2022-11-30T12:56:21-05:00
Engineering,FA,ENGR,101L,B,100,3,2,SB 128,T,11:15AM - 2:05PM,,,Full,SB,128,11:15 AM,170,2:05 PM,Engineering Graphical Communication Lab,Leonard De Rooy,,,In Person,,2022-11-28T21:14:10-05:00
Engineering,FA,ENGR,101L,C,100,3,2,SB 128,T,2:30PM - 5:20PM,,,Full,SB,128,2:30 PM,170,5:20 PM,Engineering Graphical Communication Lab,David Allen,,,In Person,,2022-11-28T21:14:40-05:00
Engineering,FA,ENGR,101L,D,100,3,2,SB 128,T,6:30PM - 9:20PM,,,Full,SB,128,6:30 PM,170,9:20 PM,Engineering Graphical Communication Lab,David Allen,,,In Person,,2022-11-28T21:15:18-05:00
Engineering,FA,ENGR,101L,E,100,3,2,SB 128,TH,6:30PM - 9:20PM,,,Full,SB,128,6:30 PM,170,9:20 PM,Engineering Graphical Communication Lab,Engr Staff,,,In Person,,2022-11-28T21:15:56-05:00
Engineering,FA,ENGR,184,A,100,2,2,SB 103,MW,1:30PM - 2:20PM,,,Full,SB,103,1:30 PM,50,2:20 PM,Sustainability Challenges,Julie Wildschut,,,In Person,,2022-11-30T12:59:01-05:00
Engineering,FA,ENGR,202,A,200,4,4,SB 103,MWF,11:00AM - 12:05PM,,,Full,SB,103,11:00 AM,65,12:05 PM,Statics and Dynamics,Leonard De Rooy,,,In Person,,2022-11-28T21:19:17-05:00
Engineering,SP,ENGR,202,A,200,4,4,SB 102,MWF,8:00AM - 9:05AM,,,Full,SB,102,8:00 AM,65,9:05 AM,Statics and Dynamics,Leonard De Rooy,,,In Person,,2022-11-30T11:26:21-05:00
Engineering,SP,ENGR,202,B,200,4,4,SB 103,MWF,11:00AM - 12:05PM,,,Full,SB,103,11:00 AM,65,12:05 PM,Statics and Dynamics,Ron Plaisier,,,In Person,,2022-11-30T09:40:32-05:00
Engineering,FA,ENGR,204,A,200,3,4,SB 103,TTH,5:30PM - 7:10PM,,,Full,SB,103,5:30 PM,100,7:10 PM,Circuit Analysis and Electronics,Eric Walstra,,,In Person,,2022-11-28T21:21:04-05:00
Engineering,SP,ENGR,204,A,200,3,4,SB 103,MWF,12:15PM - 1:20PM,,,Full,SB,103,12:15 PM,65,1:20 PM,Circuit Analysis and Electronics,Randy Brouwer,,,In Person,,2022-11-30T11:02:54-05:00
Engineering,SP,ENGR,204,B,200,3,4,SB 103,TTH,3:20PM - 5:00PM,,,Full,SB,103,3:20 PM,100,5:00 PM,Circuit Analysis and Electronics,Eric Walstra,,,In Person,,2022-11-30T09:42:21-05:00
Engineering,FA,ENGR,204L,A,200,3,2,SB 082,T,11:15AM - 2:05PM,,,Full,SB,82,11:15 AM,170,2:05 PM,Computing Seminar,Randy Brouwer,,,In Person,,2022-11-28T21:23:45-05:00
Engineering,SP,ENGR,204L,A,200,1,2,SB 082,T,8:00AM - 10:50AM,,,Full,SB,82,8:00 AM,170,10:50 AM,Circuit Analysis and Electronics Lab,Randy Brouwer,,,In Person,,2022-11-30T11:39:14-05:00
Engineering,FA,ENGR,204L,B,200,3,2,SB 082,TH,2:30PM - 5:20PM,,,Full,SB,82,2:30 PM,170,5:20 PM,Computing Seminar,Eric Walstra,,,In Person,,2022-11-28T21:24:45-05:00
Engineering,SP,ENGR,204L,B,200,1,2,SB 082,T,11:15AM - 2:05PM,,,Full,SB,82,11:15 AM,170,2:05 PM,Circuit Analysis and Electronics Lab,Mark Michmerhuizen,,,In Person,,2022-11-30T11:39:57-05:00
Engineering,SP,ENGR,204L,C,200,1,2,SB 082,TH,11:15AM - 2:05PM,,,Full,SB,82,11:15 AM,170,2:05 PM,Circuit Analysis and Electronics Lab,Eric Walstra,,,In Person,,2022-11-30T11:38:34-05:00
Engineering,SP,ENGR,204L,D,200,1,2,SB 082,TH,6:30PM - 9:20PM,,,Full,SB,82,6:30 PM,170,9:20 PM,Circuit Analysis and Electronics Lab,Andrew Jo,,,In Person,,2022-11-30T11:40:26-05:00
Engineering,SP,ENGR,205,A,200,4,4,SB 303,MWF,12:15PM - 1:20PM,,,Full,SB,303,12:15 PM,65,1:20 PM,Principles of Materials Science,Ron Plaisier,,,In Person,,2022-11-30T09:38:02-05:00
Engineering,SP,ENGR,205,B,200,4,4,SB 303,MWF,1:30PM - 2:35PM,,,Full,SB,303,1:30 PM,65,2:35 PM,Principles of Materials Science,Julie Wildschut,,,In Person,,2022-11-30T09:38:48-05:00
Engineering,SP,ENGR,205,C,200,4,4,SB 303,MWF,2:45PM - 3:50PM,,,Full,SB,303,2:45 PM,65,3:50 PM,Principles of Materials Science,Julie Wildschut,,,In Person,,2022-11-30T09:39:03-05:00
